Site;Progeny;Treatment;TreeNb;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;PetioleLength;PetioleFW;PetSampleFW;PetSampleDW;PetioleWaterContent;PetioleDW;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafWaterContent;LeafletDW;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
BMLE;P63;Irrigation;I1;-25;;29/10/2008;27/02/2010;;;;09/07/2009;M;162;6960;128.8;32.5;0.747670807;1756.21118;648;6720;144.5;34.4;0.761937716;1599.778547;184;185;369;4500;121.5;45.2;0.627983539;1674.074074;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-26;;13/11/2008;20/03/2010;;;;09/07/2009;M;162;7220;158.4;36.6;0.768939394;1668.257576;654;6680;140.3;38.2;0.727726301;1818.788311;188;192;380;3920;105.8;41.3;0.609640832;1530.20794;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-27;;26/11/2008;10/04/2010;;;;22/07/2009;M;188;8440;157.1;34.6;0.779758116;1858.841502;648;6580;129.9;32.6;0.749037721;1651.331794;179;187;366;4400;154.5;58.7;0.620064725;1671.71521;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-28;dry;24/12/2008;;28/08/2010;;;05/08/2009;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-29;;07/01/2009;26/06/2010;;;19/02/2010;16/09/2009;F;178;7400;321.5;235.1;0.26874028;5411.321928;643;6500;343.6;272;0.208381839;5145.518044;185;179;364;4720;324.5;235.2;0.275192604;3421.090909;18160;9249.17;1180;104;21.8;0.790384615;247.3461538;4920;76;20.7;0.727631579;20.7;590;680;34;4.1;0.879411765;82;1050;11380;165;109.9;0.333939394;7579.769697;133;87.9;32;22
BMLE;P63;Irrigation;I1;-30;;21/01/2009;27/02/2010;;;27/02/2010;30/09/2009;F;181;8420;180.5;39.4;0.781717452;1837.939058;637;6840;180.4;44.5;0.753325942;1687.250554;183;187;370;4700;130.4;51.1;0.608128834;1841.794479;20480;10780.67;1380;108;16.5;0.847222222;210.8333333;4800;97;30.7;0.683505155;30.7;415;440;41;4.8;0.882926829;51.51219512;1045;13860;211;137;0.3507109;8999.146919;171;111.6;40;25.4
BMLE;P63;Irrigation;I1;-31;;04/02/2009;;;;20/03/2010;30/09/2009;F;;;;;;;;;;;;;;;;;;;;;17540;8530.06;1920;110;20.3;0.815454545;354.3272727;4640;115;43.6;0.620869565;43.6;1015;1580;55;7.8;0.858181818;224.0727273;734;9400;245;161.4;0.34122449;6192.489796;197;125.7;48;35.7
BMLE;P63;Irrigation;I1;-32;dry;18/02/2009;;16/10/2010;;10/04/2010;11/11/2009;F;;;;;;;;;;;;;;;;;;;;;18920;9370.71;1200;111;16.7;0.84954955;180.5405405;4020;79;28.4;0.640506329;28.4;984;1400;45;6.3;0.86;196;903;12300;262;160.8;0.386259542;7549.007634;216;126.4;46;34.4
BMLE;P63;Irrigation;I1;-33;;04/03/2009;23/10/2010;;;;11/11/2009;M;154;5680;216;85;0.606481481;2235.185185;633;6500;215.7;95;0.559573482;2862.772369;184;187;371;4300;204;109.5;0.463235294;2308.088235;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-34;dry;18/03/2009;;18/09/2010;;;09/12/2009;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-35;;01/04/2009;07/05/2011;;;;23/12/2009;M;182;8000;186.5;53;0.715817694;2273.458445;640;6750;224.4;84.1;0.625222816;2529.745989;188;187;375;4250;172.2;81.4;0.527293844;2009.001161;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-36;;15/04/2009;;01/04/2011;;;06/01/2010;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-37;;29/04/2009;;;;;17/02/2010;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-38;;27/05/2009;30/10/2010;;;;03/03/2010;M;177;8300;251.3;127.7;0.491842419;4217.707919;639;7040;247.4;174.8;0.2934519;4974.098626;190;187;377;4480;223.5;166.7;0.254138702;3341.458613;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-39;;10/06/2009;12/11/2010;;;;17/03/2010;M;172;7160;269.7;136.5;0.493882091;3623.804227;649;6720;248.1;134.4;0.45828295;3640.338573;193;189;382;4540;243.7;130.9;0.462864177;2438.596635;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-40;;24/06/2009;;25/05/2011;;;14/04/2010;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-41;;09/07/2009;;01/07/2011;;;28/04/2010;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMLE;P63;Irrigation;I1;-42;;05/08/2009;04/01/2011;;;16/11/2010;12/05/2010;F;187;6300;217.6;68.3;0.686121324;1977.435662;672;7150;200.8;67.5;0.663844622;2403.510956;192;188;380;5100;177.5;71.2;0.598873239;2045.746479;27330;16729.25;1680;200;75.2;0.624;631.68;4890;210;121.1;0.423333333;121.1;815;960;43;12;0.720930233;267.9069767;1763;19800;170;111.7;0.342941176;13009.76471;123;73.9;46;37.8
BMLE;P63;Irrigation;I1;-43;;02/09/2009;01/07/2011;01/07/2011;;30/10/2010;26/05/2010;F;173;7600;204.6;60.4;0.704789834;2243.597263;660;7000;202.6;58.8;0.709772952;2031.589339;191;186;377;4460;219.6;117.8;0.463570128;2392.477231;29610;16416.49;1640;215;127.7;0.406046512;974.0837209;6480;226;154;0.318584071;154;810;900;37;29.6;0.2;720;1780;20590;174;87.1;0.499425287;10306.83333;127;62.1;46;25
BMLE;P63;Irrigation;I1;-44;;16/09/2009;18/06/2011;;;12/11/2010;26/05/2010;F;170;7400;249.6;66.6;0.733173077;1974.519231;;;;;;;;;;;;;;;30160;17988.02;1660;246;117.8;0.521138211;794.9105691;6200;215;110.9;0.484186047;110.9;970;1100;40;14.6;0.635;401.5;1776;21200;199;127.6;0.35879397;13593.56784;154;94.8;45;32.8
BMLE;P63;Irrigation;I1;-45;;25/11/2009;;01/04/2011;14/04/2010;;23/06/2010;M;;;;;;;633;7340;108.5;25.8;0.762211982;1745.364055;192;186;378;4520;176.4;65.9;0.626417234;1688.594104;;;;;;;;;;;;;;;;;;;;;;;;;;;;
