Site;Progeny;Treatment;TreeNb;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafletWaterContent;LeafletDW;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
PHLE;P1;Control;T6;-3;Broken;06/09/2006;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T2;-3;Broken;06/09/2006;01/05/2008;;;;20/08/2007;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T3;-4;Broken;06/09/2006;01/04/2008;;;23/02/2008;20/08/2007;F;;;;;;;;;;;;;;;;;318;48;12;0.75;79.5;754;50;16;0.68;241.28;212;224;41;9;0.780487805;49.17073171;360;3916;128;101;0.2109375;3089.96875;98;76;30;25
PHLE;P1;Irrigation;T3;-160;;30/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T1;-3;broken;06/09/2006;21/06/2008;;;;24/05/2007;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T1;-162;;31/05/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T5;-3;Broken;06/09/2006;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T6;-2;Broken;23/08/2006;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T2;-2;Broken;23/08/2006;01/04/2008;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T3;-3;Broken;23/08/2006;01/03/2008;;;23/02/2008;20/08/2007;F;;;;;;;;;;;;;;;;;495;50;10;0.8;99;897;48;17;0.645833333;317.6875;234;284;53;10;0.811320755;53.58490566;446;4218;137;98;0.284671533;3017.255474;103;70;34;28
PHLE;P1;Control;T1;-2;broken;06/09/2006;05/06/2008;;;06/10/2007;03/04/2007;F;;;;;;;;;;;;;;;;;381;48;8;0.833333333;63.5;1119;49;19;0.612244898;433.8979592;61;101;42;8;0.80952381;19.23809524;580;5512;215;150;0.302325581;3845.581395;180;121;35;29
PHLE;P1;Irrigation;T2;-183;;15/06/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T1;-163;;15/06/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T2;-184;;01/07/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T1;-164;;01/07/2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T5;-2;Broken;23/08/2006;;;;;03/04/2007;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T5;-1;Broken;23/08/2006;;;;;06/09/2006;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T3;-2;Broken;23/08/2006;01/03/2008;;;;01/06/2007;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T6;-1;Broken;23/08/2006;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
