Progeny;TreeNb;Treatment;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;PetioleLength;PetioleFW;PetSampleFW;PetSampleDW;PetioleWaterContent;PetioleDW;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafletWaterContent;LeafletDW;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
63;C1;Control;-26;;27/11/07;;30/07/09;;;23/07/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-27;;12/12/07;;24/09/09;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-28;;26/12/07;;26/08/09;;;04/09/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-29;;09/01/08;;24/09/09;;;04/09/08;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-30;;06/02/08;27/03/10;;;;23/10/08;M;156,00;6500,00;156,60;38,50;0,75;1598,00;621,00;5560,00;137,20;37,90;0,72;1535,90;192,00;199,00;391,00;3740,00;158,80;64,10;0,60;1509,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-31;;20/02/08;07/11/09;04/11/09;;;06/11/08;M;127,00;3640,00;111,90;31,10;0,72;1011,70;624,00;5120,00;130,80;34,40;0,74;1346,50;189,00;187,00;376,00;3520,00;76,10;30,00;0,61;1387,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-32;;05/03/08;24/07/09;;;;20/11/08;M;163,00;7100,00;112,40;24,70;0,78;1560,20;617,00;3980,00;99,30;37,50;0,62;1503,00;191,00;206,00;397,00;3980,00;99,30;37,50;0,62;1503,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-33;;19/03/08;28/11/09;;;;;A;168,00;6160,00;102,10;24,80;0,76;1496,30;606,00;5520,00;132,50;32,20;0,76;1341,50;188,00;194,00;382,00;4120,00;71,30;27,10;0,62;1565,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-34;;17/04/08;19/12/09;;;;31/12/08;M;143,00;5360,00;96,60;24,60;0,75;1365,00;606,00;5700,00;79,20;17,40;0,78;1252,30;195,00;200,00;384,00;4020,00;68,90;26,00;0,62;1517,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-35;;30/04/08;15/01/10;26/09/09;26/09/09;;29/01/09;M;165,00;6820,00;85,60;20,00;0,77;1593,50;622,00;6040,00;84,80;20,50;0,76;1460,10;188,00;196,00;384,00;4000,00;64,50;24,20;0,62;1500,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-36;;15/05/08;;07/10/09;;;11/02/09;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-37;;29/05/08;27/02/10;;;24/07/09;26/02/09;F;175,00;7000,00;155,90;39,60;0,75;1778,10;641,00;6200,00;139,90;33,60;0,76;1489,10;186,00;190,00;376,00;4000,00;104,80;41,40;0,60;1580,20;26610,00;14889,00;1640,00;148,40;23,90;0,84;264,10;5410,00;101,00;30,30;0,70;1623,00;565,00;1200,00;56,10;7,20;0,87;154,00;2011,00;18360,00;246,50;172,50;0,30;12848,30;224,00;155,50;22,50;17,00
63;C1;Control;-38;;11/06/08;;27/03/10;;;12/03/09;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-39;;09/07/08;07/11/09;;;;28/03/09;M;170,00;7000,00;146,30;38,30;0,74;1832,50;669,00;6400,00;157,10;36,70;0,77;1495,10;194,00;190,00;384,00;3800,00;98,00;37,80;0,61;1465,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-40;;23/07/08;21/11/09;;;;11/04/09;M;170,00;6400,00;121,00;28,60;0,76;1512,70;679,00;5300,00;139,40;37,00;0,73;1406,70;198,00;202,00;400,00;3600,00;95,30;36,10;0,62;1363,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-41;;06/08/08;28/11/09;;;;11/04/09;M;166,00;7060,00;147,10;33,30;0,77;1598,20;680,00;7000,00;111,30;24,50;0,78;1540,90;196,00;202,00;398,00;4320,00;72,70;27,40;0,62;1628,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-42;;21/08/08;19/12/09;;;;07/05/09;M;164,00;6700,00;95,30;23,00;0,76;1617,00;691,00;6860,00;99,20;18,80;0,81;1300,10;196,00;199,00;384,00;4300,00;54,80;27,30;0,50;2142,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-43;;04/09/08;15/01/10;;;;07/05/09;M;161,00;7060,00;100,30;22,50;0,78;1583,70;762,00;7020,00;102,20;21,30;0,79;1463,10;182,00;191,00;373,00;4320,00;59,40;22,80;0,62;1658,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;C1;Control;-44;;08/10/08;30/01/10;;;07/11/09;21/05/09;F;166,00;7500,00;154,40;35,90;0,77;1743,80;702,00;6920,00;140,20;35,20;0,75;1737,40;196,00;199,00;395,00;4320,00;94,10;37,60;0,60;1726,20;22060,00;12945,00;1080,00;128,00;19,50;0,85;164,50;3740,00;71,00;25,20;0,65;1327,40;736,00;1040,00;43,00;6,00;0,86;145,10;1815,00;16200,00;152,00;106,10;0,30;11308,00;126,00;89,00;26,00;17,10
63;C1;Control;-45;;23/10/08;28/11/09;12/08/09;;21/11/09;21/05/09;F;167,00;5780,00;92,50;27,10;0,71;1693,40;676,00;5060,00;93,50;23,30;0,75;1260,90;191,00;195,00;386,00;3860,00;967,00;581,00;0,40;2319,20;22880,00;11715,00;1680,00;186,00;25,00;0,87;225,80;5100,00;109,00;37,50;0,66;1754,60;553,00;700,00;46,00;5,90;0,87;89,80;1670,00;15400,00;152,00;95,20;0,40;9645,30;126,00;78,50;26,00;16,70
63;C1;Control;-46;;06/11/08;27/03/10;;;28/11/09;18/06/09;F;171,00;7820,00;140,00;37,70;0,73;2105,80;674,00;6480,00;155,90;38,40;0,75;1596,10;178,00;196,00;374,00;4120,00;140,20;59,10;0,58;1736,70;26340,00;15014,00;1500,00;127,00;16,80;0,87;198,40;6100,00;84,00;30,00;0,64;2178,60;422,00;580,00;47,00;6,50;0,86;80,20;2620,00;18160,00;176,00;121,70;0,30;12557,20;156,00;108,00;20,00;13,70
63;C1;Control;-47;;20/11/08;;12/08/09;;19/12/09;16/07/09;F;;;;;;;;;;;;;;;;;;;;;24320,00;13581,00;1700,00;104,00;13,80;0,87;225,60;5300,00;77,00;27,30;0,65;1879,10;313,00;420,00;46,00;6,40;0,86;58,40;1870,00;16900,00;156,00;105,40;0,30;11418,30;135,00;90,50;21,00;14,90
